python开发工程师, 腾讯科技（深圳）有限公司, 2000人以上, 上市公司, 免费班车|成长空间|年度旅游|岗位晋升, 社交, 开发|测试|运维类|后端开发|Python, 20k-40k, 全职, 本科
Python工程师, 深圳市紫川软件有限公司, 500-2000人, 不需要融资, 节日礼物|年底双薪|绩效奖金|岗位晋升, 电商,金融, 开发|测试|运维类|后端开发|Python, 13k-20k, 全职, 本科
Python开发工程师, 易宝软件科技（南京）有限公司, 150-500人, 上市公司, , 移动互联网, 开发|测试|运维类|后端开发|Python, 10k-15k, 全职, 本科
Python开发工程师, 上海正见文化传播有限公司, 150-500人, D轮及以上, , 广告营销,金融, 开发|测试|运维类|后端开发|Python, 9k-12k, 全职, 本科
python开发工程师, 北京字节跳动科技有限公司, 2000人以上, C轮, 扁平管理|弹性工作|大厨定制三餐|就近租房补贴, 文娱丨内容, 开发|测试|运维类|后端开发|Python, 20k-35k, 全职, 本科
python, 易宝软件科技（南京）有限公司, 150-500人, 上市公司, , 移动互联网, 开发|测试|运维类|后端开发|Python, 10k-20k, 全职, 本科
Python开发工程师, 北京字节跳动科技有限公司, 2000人以上, C轮, 扁平管理|弹性工作|大厨定制三餐|就近租房补贴, 文娱丨内容, 开发|测试|运维类|后端开发|Python, 25k-40k, 全职, 本科
Python开发工程师, 建信金融科技有限责任公司, 2000人以上, 不需要融资, 绩效奖金|带薪年假|交通补助|通讯津贴, 金融,软件开发, 开发|测试|运维类|后端开发|Python, 25k-50k, 全职, 本科
python开发工程师, 广州回头车信息科技有限公司, 150-500人, A轮, 五险一金|带薪年假|年度旅游|岗位晋升, 消费生活, 开发|测试|运维类|后端开发|Python, 13k-25k, 全职, 本科
Python开发工程师, 北京汉迪移动互联网科技股份有限公司, 150-500人, 不需要融资, 带薪年假|定期体检|文化open|扁平化管理, 移动互联网, 开发|测试|运维类|后端开发|PHP, 15k-30k, 全职, 本科
python开发工程师, 深圳市普特生物医学工程有限公司, 150-500人, 不需要融资, , 医疗丨健康, 开发|测试|运维类|后端开发|Python, 15k-24k, 全职, 本科
python开发工程师, 深圳市微赢世纪网络科技有限公司, 15-50人, 天使轮, 大牛带队|技能培训|股票期权|扁平管理, 人工智能,工具, 开发|测试|运维类|后端开发|Python, 15k-30k, 全职, 本科
python开发工程师, 北京棕榈创想科技有限公司, 150-500人, A轮, 绩效奖金|交通补助|定期体检|午餐补助, 移动互联网, 开发|测试|运维类|后端开发|Python, 10k-20k, 全职, 本科
python开发工程师, 深圳市圆代码互联网有限公司, 少于15人, 天使轮, , 移动互联网, 开发|测试|运维类|后端开发|Python, 10k-20k, 全职, 硕士
python, 广州回头车信息科技有限公司, 150-500人, A轮, 五险一金|带薪年假|年度旅游|岗位晋升, 消费生活, 开发|测试|运维类|后端开发|Python, 10k-20k, 全职, 本科
Python开发工程师, 达而观信息科技（上海）有限公司, 150-500人, B轮, AI人工智能|NLP|技术领先|市场口碑佳, 人工智能, 开发|测试|运维类|后端开发|Python, 15k-30k, 全职, 本科
